Metric,Best Team,Mean value
Playing Time MP,Bournemouth,26.0
Playing Time Starts,Everton,19.7
Playing Time Min,Bournemouth,745.5714
Playing Time 90s,Everton,19.645
Performance Gls,Manchester City,2.9583
Performance Ast,Manchester City,2.2917
Performance G+A,Manchester City,5.25
Performance G-PK,Manchester City,2.8333
Performance PK,Brentford,0.381
Performance PKatt,Brentford,0.4762
Performance CrdY,Bournemouth,3.8
Performance CrdR,Chelsea,0.2692
Per 90 Minutes Gls,Arsenal,0.1948
Per 90 Minutes Ast,Brentford,0.1467
Per 90 Minutes G+A,Arsenal,0.3196
Per 90 Minutes G-PK,Arsenal,0.1874
Per 90 Minutes G+A-PK,Arsenal,0.3126
Performance GA,Bournemouth,52.0
Performance GA90,Brentford,2.155
Performance SoTA,Bournemouth,149.0
Performance Saves,Bournemouth,103.0
Performance Save%,Crystal Palace,85.0
Performance W,Arsenal,24.0
Performance D,Bournemouth,16.0
Performance L,Fulham,16.0
Performance CS,Arsenal,18.0
Performance CS%,Crystal Palace,65.7
Penalty Kicks PKatt,Bournemouth,6.0
Penalty Kicks PKA,Bournemouth,6.0
Penalty Kicks PKsv,Brentford,1.5
Penalty Kicks PKm,Fulham,1.0
Penalty Kicks Save%,Aston Villa,50.0
Standard Sh,Manchester Utd,25.0909
Standard SoT,Manchester Utd,9.0455
Standard SoT%,Tottenham Hotspur,39.4375
Standard Sh/90,Arsenal,1.7287
Standard SoT/90,Arsenal,0.537
Standard G/Sh,Arsenal,0.1164
Standard G/SoT,Arsenal,0.42
Playing Time Mn/MP,Everton,65.05
Playing Time Min%,Everton,54.545
Starts Mn/Start,Brentford,83.5789
Starts Compl,Everton,13.65
Subs Subs,Bournemouth,7.25
Subs Mn/Sub,Chelsea,27.76
Subs unSub,Crystal Palace,6.5238
Team Success PPM,Arsenal,2.1857
Team Success onG,Manchester City,32.9167
Team Success onGA,Burnley,33.8696
Team Success +/-,Arsenal,20.0
Team Success +/-90,Arsenal,1.2313
Team Success On-Off,Bournemouth,0.4663
Performance 2CrdY,Chelsea,0.1154
Performance Fls,Bournemouth,19.6
Performance Fld,Everton,19.15
Performance Off,Liverpool,3.2273
Performance Crs,Newcastle United,38.2273
Performance Int,Bournemouth,15.6
Performance TklW,Everton,19.05
Performance OG,Burnley,0.1739
