Player,Nation,Pos,Squad,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Playing Time Mn/MP,Playing Time Min%,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
Aaron Hickey,SCO,DF,Brentford,23-327,19,7,600,6.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5,1,20.0,0.75,0.15,0.00,0.00,32,19.0,69,1,12,10,7,1.58,8,8,0,0.00,-0.11,0,6,8,0,4,7,7,N/a,N/a,0
Aaron Ramsdale,ENG,GK,Newcastle United,27-354,12,11,"1,004",11.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,17,1.52,38,24,63.2,4,2,5,1,9.1,3,3,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,84,31.9,90,11,1,14,23,1.17,16,17,-1,-0.09,+0.04,0,0,1,0,0,0,0,N/a,N/a,0
Aaron Wan-Bissaka,COD,"DF,MF",West Ham United,28-158,23,21,"1,929",21.4,0,2,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,0.00,0.00,N/a,N/a,84,61.2,88,18,2,36,4,1.04,27,40,-13,-0.61,-0.39,0,22,12,1,40,39,22,N/a,N/a,0
Abdukodir Khusanov,UZB,DF,Manchester City,22-063,18,12,"1,162",12.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,4,1,25.0,0.31,0.08,0.00,0.00,65,39.1,83,9,6,27,9,2.00,18,9,+9,+0.70,-0.70,0,12,5,0,2,26,17,N/a,N/a,0
Adam Armstrong,ENG,"FW,MF",Wolves,29-082,11,11,906,10.1,1,2,3,1,0,0,3,0,0.10,0.20,0.30,0.10,0.30,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,16,5,31.3,1.59,0.50,0.06,0.20,82,28.8,82,6,0,N/a,0,0.91,7,15,-8,-0.79,+0.41,0,10,3,4,4,1,3,N/a,N/a,0
Adam Smith,ENG,DF,Bournemouth,35-004,19,11,809,9.0,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0,N/a,0.00,0.00,N/a,N/a,43,26.4,69,4,8,7,10,1.42,15,15,0,0.00,0.00,0,14,7,0,10,7,10,N/a,N/a,0
Adam Wharton,ENG,MF,Crystal Palace,22-086,29,27,"2,280",25.3,0,5,5,0,0,0,6,1,0.00,0.20,0.20,0.00,0.20,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,26,4,15.4,1.03,0.16,0.00,0.00,79,76.8,82,13,2,29,0,1.28,29,36,-7,-0.28,-0.80,1,30,27,0,76,24,33,N/a,N/a,0
Adama Traoré,ESP,MF,Fulham,30-098,15,1,274,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,5,1,20.0,1.64,0.33,0.00,0.00,18,8.7,75,0,14,14,6,1.20,4,7,-3,-0.99,-1.02,0,6,8,3,15,0,1,N/a,N/a,0
Adrien Truffert,FRA,DF,Bournemouth,24-164,34,34,"3,019",33.5,1,3,4,1,0,0,4,0,0.03,0.09,0.12,0.03,0.12,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,14,4,28.6,0.42,0.12,0.07,0.25,89,98.7,89,32,0,N/a,0,1.44,52,49,+3,+0.09,+6.67,0,37,29,0,135,41,47,N/a,N/a,0
Alejandro Garnacho,ARG,MF,Chelsea,21-306,23,14,"1,266",14.1,1,4,5,1,0,0,2,0,0.07,0.28,0.36,0.07,0.36,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33,7,21.2,2.35,0.50,0.03,0.14,55,41.4,68,4,9,35,8,1.39,20,20,0,0.00,-0.40,0,9,23,2,61,4,12,N/a,N/a,0
Alex Iwobi,NGA,MF,Fulham,30-000,27,27,"2,263",25.1,4,3,7,4,0,0,3,0,0.16,0.12,0.28,0.16,0.28,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,31,12,38.7,1.23,0.48,0.13,0.33,84,71.8,84,11,0,N/a,0,1.26,33,39,-6,-0.24,-0.64,0,7,10,1,80,14,17,N/a,N/a,0
Alex Scott,ENG,MF,Bournemouth,22-255,34,31,"2,580",28.7,3,1,4,3,0,0,4,0,0.10,0.03,0.14,0.10,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,43,12,27.9,1.50,0.42,0.07,0.25,76,84.3,79,17,3,39,0,1.44,45,41,+4,+0.14,+0.89,0,38,56,1,78,34,34,N/a,N/a,0
Alexander Isak,SWE,FW,Liverpool,26-224,13,8,675,7.5,3,1,4,3,0,0,0,0,0.40,0.13,0.53,0.40,0.53,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17,6,35.3,2.27,0.80,0.18,0.50,52,22.1,74,0,5,16,1,1.77,7,9,-2,-0.27,-0.83,0,5,1,0,2,0,5,N/a,N/a,0
Alexis Mac Allister,ARG,MF,Liverpool,27-130,33,27,"2,298",25.5,2,4,6,2,0,0,5,0,0.08,0.16,0.23,0.08,0.23,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,46,11,23.9,1.80,0.43,0.04,0.18,70,75.1,81,16,6,20,0,1.67,39,32,+7,+0.27,-0.43,0,27,30,0,19,17,23,N/a,N/a,0
Alisson,BRA,GK,Liverpool,33-213,25,25,"2,250",25.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,30,1.20,84,56,66.7,13,7,5,8,32.0,2,2,0,0,0.0,0,0,N/a,0.00,0.00,N/a,N/a,90,73.5,90,25,0,N/a,0,1.84,43,30,+13,+0.52,+0.52,0,1,7,0,0,0,0,N/a,N/a,0
Alphonse Areola,FRA,GK,West Ham United,33-065,20,20,"1,800",20.0,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,37,1.85,108,76,70.4,4,5,11,0,0.0,6,5,0,1,0.0,0,0,N/a,0.00,0.00,N/a,N/a,90,57.1,90,20,0,N/a,15,0.85,25,37,-12,-0.60,-0.33,0,1,1,0,0,1,0,N/a,N/a,0
Altay Bayındır,TUR,GK,Manchester Utd,28-019,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,N/a,0,0,N/a,0.00,0.00,N/a,N/a,90,17.6,90,6,0,N/a,28,1.17,7,11,-4,-0.67,-1.31,0,0,3,0,0,0,0,N/a,N/a,0
