Squad,Playing Time MP_median,Playing Time MP_mean,Playing Time MP_std,Playing Time Starts_median,Playing Time Starts_mean,Playing Time Starts_std,Playing Time Min_median,Playing Time Min_mean,Playing Time Min_std,Playing Time 90s_median,Playing Time 90s_mean,Playing Time 90s_std,Performance Gls_median,Performance Gls_mean,Performance Gls_std,Performance Ast_median,Performance Ast_mean,Performance Ast_std,Performance G+A_median,Performance G+A_mean,Performance G+A_std,Performance G-PK_median,Performance G-PK_mean,Performance G-PK_std,Performance PK_median,Performance PK_mean,Performance PK_std,Performance PKatt_median,Performance PKatt_mean,Performance PKatt_std,Performance CrdY_median,Performance CrdY_mean,Performance CrdY_std,Performance CrdR_median,Performance CrdR_mean,Performance CrdR_std,Per 90 Minutes Gls_median,Per 90 Minutes Gls_mean,Per 90 Minutes Gls_std,Per 90 Minutes Ast_median,Per 90 Minutes Ast_mean,Per 90 Minutes Ast_std,Per 90 Minutes G+A_median,Per 90 Minutes G+A_mean,Per 90 Minutes G+A_std,Per 90 Minutes G-PK_median,Per 90 Minutes G-PK_mean,Per 90 Minutes G-PK_std,Per 90 Minutes G+A-PK_median,Per 90 Minutes G+A-PK_mean,Per 90 Minutes G+A-PK_std,Performance GA_median,Performance GA_mean,Performance GA_std,Performance GA90_median,Performance GA90_mean,Performance GA90_std,Performance SoTA_median,Performance SoTA_mean,Performance SoTA_std,Performance Saves_median,Performance Saves_mean,Performance Saves_std,Performance Save%_median,Performance Save%_mean,Performance Save%_std,Performance W_median,Performance W_mean,Performance W_std,Performance D_median,Performance D_mean,Performance D_std,Performance L_median,Performance L_mean,Performance L_std,Performance CS_median,Performance CS_mean,Performance CS_std,Performance CS%_median,Performance CS%_mean,Performance CS%_std,Penalty Kicks PKatt_median,Penalty Kicks PKatt_mean,Penalty Kicks PKatt_std,Penalty Kicks PKA_median,Penalty Kicks PKA_mean,Penalty Kicks PKA_std,Penalty Kicks PKsv_median,Penalty Kicks PKsv_mean,Penalty Kicks PKsv_std,Penalty Kicks PKm_median,Penalty Kicks PKm_mean,Penalty Kicks PKm_std,Penalty Kicks Save%_median,Penalty Kicks Save%_mean,Penalty Kicks Save%_std,Standard Sh_median,Standard Sh_mean,Standard Sh_std,Standard SoT_median,Standard SoT_mean,Standard SoT_std,Standard SoT%_median,Standard SoT%_mean,Standard SoT%_std,Standard Sh/90_median,Standard Sh/90_mean,Standard Sh/90_std,Standard SoT/90_median,Standard SoT/90_mean,Standard SoT/90_std,Standard G/Sh_median,Standard G/Sh_mean,Standard G/Sh_std,Standard G/SoT_median,Standard G/SoT_mean,Standard G/SoT_std,Playing Time Mn/MP_median,Playing Time Mn/MP_mean,Playing Time Mn/MP_std,Playing Time Min%_median,Playing Time Min%_mean,Playing Time Min%_std,Starts Mn/Start_median,Starts Mn/Start_mean,Starts Mn/Start_std,Starts Compl_median,Starts Compl_mean,Starts Compl_std,Subs Subs_median,Subs Subs_mean,Subs Subs_std,Subs Mn/Sub_median,Subs Mn/Sub_mean,Subs Mn/Sub_std,Subs unSub_median,Subs unSub_mean,Subs unSub_std,Team Success PPM_median,Team Success PPM_mean,Team Success PPM_std,Team Success onG_median,Team Success onG_mean,Team Success onG_std,Team Success onGA_median,Team Success onGA_mean,Team Success onGA_std,Team Success +/-_median,Team Success +/-_mean,Team Success +/-_std,Team Success +/-90_median,Team Success +/-90_mean,Team Success +/-90_std,Team Success On-Off_median,Team Success On-Off_mean,Team Success On-Off_std,Performance 2CrdY_median,Performance 2CrdY_mean,Performance 2CrdY_std,Performance Fls_median,Performance Fls_mean,Performance Fls_std,Performance Fld_median,Performance Fld_mean,Performance Fld_std,Performance Off_median,Performance Off_mean,Performance Off_std,Performance Crs_median,Performance Crs_mean,Performance Crs_std,Performance Int_median,Performance Int_mean,Performance Int_std,Performance TklW_median,Performance TklW_mean,Performance TklW_std,Performance PKwon_median,Performance PKwon_mean,Performance PKwon_std,Performance PKcon_median,Performance PKcon_mean,Performance PKcon_std,Performance OG_median,Performance OG_mean,Performance OG_std
Arsenal,25.0,23.7826,9.4626,19.0,17.2174,11.3576,532.5,524.125,311.4076,17.6,17.187,10.6669,1.0,2.7826,3.316,2.0,2.087,2.043,3.0,4.8696,4.3307,1.0,2.6087,2.8242,0.0,0.1739,0.6503,0.0,0.1739,0.6503,2.0,2.1304,1.7659,0.0,0.0,0.0,0.11,0.1948,0.2311,0.11,0.1248,0.1276,0.27,0.3196,0.253,0.11,0.1874,0.2226,0.27,0.3126,0.247,26.0,26.0,N/a,0.72,0.72,N/a,86.0,86.0,N/a,59.0,59.0,N/a,69.8,69.8,N/a,24.0,24.0,N/a,7.0,7.0,N/a,5.0,5.0,N/a,18.0,18.0,N/a,50.0,50.0,N/a,0.0,0.0,N/a,0.0,0.0,N/a,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,N/a,21.0,22.6522,19.5509,7.0,7.6087,7.3159,28.85,28.8455,16.0291,1.67,1.7287,1.3824,0.45,0.537,0.5705,0.11,0.1164,0.109,0.4,0.42,0.301,59.0,58.6087,21.3515,48.9,47.7391,29.6192,77.0,76.8571,10.0364,5.0,10.5217,11.1146,6.0,6.5652,4.7177,24.0,25.2727,7.7225,2.0,4.5217,5.4512,2.19,2.1857,0.1913,30.0,32.3913,20.3129,13.0,12.3913,7.6082,21.0,20.0,13.2836,1.16,1.2313,0.7375,-0.05,0.0041,1.014,0.0,0.0,0.0,15.0,16.1304,11.1938,13.0,16.6522,13.1205,1.0,2.6087,3.1585,9.0,28.3913,42.8504,9.0,10.913,10.7995,12.0,13.913,11.0779,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0435,0.2085
Aston Villa,22.0,22.0,9.3541,16.0,15.84,11.0177,588.0,586.4545,264.088,15.7,15.76,10.1466,0.0,1.88,3.1134,1.0,1.44,1.6603,2.0,3.32,4.0282,0.0,1.88,3.1134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.3979,0.0,0.04,0.2,0.0,0.126,0.1902,0.07,0.0876,0.0898,0.19,0.214,0.2007,0.0,0.126,0.1902,0.19,0.214,0.2007,23.0,23.0,19.799,1.425,1.425,0.3041,76.5,76.5,72.832,54.5,54.5,53.033,69.55,69.55,2.192,8.5,8.5,9.1924,4.0,4.0,2.8284,5.5,5.5,6.364,5.0,5.0,4.2426,32.9,32.9,10.0409,1.0,1.0,0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,0.0,0.0,0.0,50.0,50.0,70.7107,10.0,18.2,21.0297,4.0,6.24,8.2728,33.3,30.8727,18.6586,1.03,1.3176,1.1208,0.3,0.4032,0.3853,0.05,0.0736,0.0792,0.25,0.2189,0.2136,59.0,60.36,22.2034,43.5,43.796,28.2067,81.0,78.2,10.8089,7.0,9.32,10.2051,4.0,6.16,5.6545,21.0,22.4762,10.2158,2.0,4.44,6.6713,1.69,1.6272,0.3429,17.0,21.8,14.6742,17.0,20.04,12.0502,2.0,1.76,4.6033,0.1,-0.0016,0.4001,-0.02,-0.0716,0.7612,0.0,0.0,0.0,11.0,14.48,13.5096,12.0,18.04,15.8495,0.0,1.6,4.4159,7.0,23.08,34.9105,6.0,8.24,7.3501,10.0,12.76,11.0351,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.04,0.2
Bournemouth,28.5,26.0,8.5594,17.0,18.75,11.3178,899.0,745.5714,316.8495,15.55,18.645,10.6575,1.0,2.25,3.024,1.0,1.4,1.5355,3.5,3.65,3.2811,1.0,2.05,2.5849,0.0,0.2,0.6156,0.0,0.2,0.6156,3.0,3.8,2.7067,0.0,0.1,0.3078,0.09,0.1505,0.1923,0.055,0.0735,0.0783,0.19,0.224,0.1969,0.09,0.141,0.1743,0.19,0.2145,0.1806,52.0,52.0,N/a,1.44,1.44,N/a,149.0,149.0,N/a,103.0,103.0,N/a,69.1,69.1,N/a,13.0,13.0,N/a,16.0,16.0,N/a,7.0,7.0,N/a,11.0,11.0,N/a,30.6,30.6,N/a,6.0,6.0,N/a,6.0,6.0,N/a,0.0,0.0,N/a,0.0,0.0,N/a,0.0,0.0,N/a,16.5,22.4,20.9847,5.5,7.25,7.4895,29.45,27.1278,17.1642,1.13,1.4715,1.4813,0.365,0.424,0.3845,0.065,0.0794,0.0773,0.25,0.28,0.1887,70.0,61.9,21.349,43.25,51.8,29.6172,83.0,80.4737,8.4352,8.0,10.75,11.7378,4.5,7.25,6.6876,23.0,20.5294,10.063,1.0,3.4,5.134,1.53,1.557,0.1787,22.0,28.7,16.5501,21.0,26.2,15.3575,2.0,2.5,4.1864,0.105,0.209,0.6034,-0.02,0.4663,1.7235,0.0,0.0,0.0,15.5,19.6,13.3511,12.0,17.35,15.0202,1.0,2.75,5.9194,19.0,33.25,38.4062,9.0,15.6,14.9258,15.5,17.1,13.9657,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.15,0.4894
Brentford,30.0,24.619,11.9686,21.0,18.8095,12.392,113.0,230.8333,227.1761,20.4,18.7905,12.0901,1.0,2.381,4.8936,1.0,1.5238,1.3274,2.0,3.9048,5.2811,1.0,2.0,3.3615,0.0,0.381,1.7457,0.0,0.4762,1.9652,2.0,3.0952,2.7732,0.0,0.0476,0.2182,0.03,0.1262,0.2274,0.06,0.1467,0.2494,0.17,0.2738,0.3021,0.03,0.1152,0.2059,0.17,0.2629,0.291,24.5,24.5,30.4056,2.155,2.155,1.195,69.0,69.0,91.9239,48.0,48.0,66.468,46.85,46.85,30.9006,7.0,7.0,8.4853,4.5,4.5,6.364,6.5,6.5,9.1924,5.0,5.0,7.0711,14.3,14.3,20.2233,3.5,3.5,4.9497,2.0,2.0,2.8284,1.5,1.5,2.1213,0.0,0.0,0.0,42.9,42.9,N/a,10.0,17.9524,20.74,3.0,6.7143,10.184,31.7,33.9833,20.6684,0.74,0.9857,0.9217,0.21,0.34,0.3469,0.09,0.0967,0.1182,0.32,0.2994,0.3024,67.0,63.0,24.954,56.5,52.1762,33.5619,83.0,83.5789,5.7283,10.0,12.6667,11.3108,7.0,5.8095,4.4791,20.0,22.3529,12.7424,3.0,6.1429,9.4936,1.42,1.41,0.5037,28.0,27.0952,16.616,30.0,25.4762,15.6991,1.0,1.619,3.0899,0.06,0.2071,0.965,-0.14,0.129,1.104,0.0,0.0,0.0,15.0,17.619,17.2785,12.0,15.3333,14.2384,1.0,2.6667,5.1897,15.0,30.3333,36.8773,13.0,14.7143,12.1043,13.0,15.0476,13.4702,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.1429,0.3586
Brighton,25.0,23.0833,10.0905,18.5,16.5,11.0375,328.0,466.5556,340.8108,17.35,16.4583,10.6332,1.0,2.125,2.6916,1.0,1.375,1.3453,2.5,3.5,3.3101,1.0,2.0,2.5707,0.0,0.125,0.3378,0.0,0.2083,0.658,2.0,3.5417,3.0357,0.0,0.0,0.0,0.12,0.1667,0.1889,0.1,0.1112,0.1406,0.25,0.2783,0.2931,0.095,0.1417,0.1812,0.23,0.2529,0.2958,42.0,42.0,N/a,1.17,1.17,N/a,135.0,135.0,N/a,97.0,97.0,N/a,72.6,72.6,N/a,14.0,14.0,N/a,11.0,11.0,N/a,11.0,11.0,N/a,10.0,10.0,N/a,27.8,27.8,N/a,6.0,6.0,N/a,5.0,5.0,N/a,1.0,1.0,N/a,0.0,0.0,N/a,16.7,16.7,N/a,17.5,19.2083,15.7148,6.0,6.875,6.6025,37.5,33.7524,14.4239,1.02,1.2987,1.0543,0.395,0.4696,0.4424,0.08,0.1019,0.0869,0.29,0.306,0.2684,62.0,57.9167,22.2572,48.25,45.7375,29.5288,81.5,78.7083,13.9891,5.5,9.5833,11.0882,6.5,6.5833,4.7996,19.0,19.9091,8.2515,2.0,3.9583,5.8196,1.47,1.3962,0.3435,22.5,23.7083,15.3438,20.0,19.1667,12.0241,4.5,4.5417,4.2116,0.27,0.2217,0.8336,-0.04,-0.0183,0.9554,0.0,0.0,0.0,16.0,18.0,12.7927,11.5,14.6667,11.7165,1.5,2.5417,2.8281,14.5,27.375,38.3381,9.0,12.375,11.5149,13.0,16.4167,13.7142,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.1667,0.3807
Burnley,25.0,23.1739,9.2474,16.0,16.913,9.6196,334.5,404.75,351.6489,16.4,16.8217,9.0877,1.0,1.4783,2.5738,0.0,1.087,1.4433,2.0,2.5652,2.9515,1.0,1.3913,2.2911,0.0,0.087,0.417,0.0,0.087,0.417,1.0,2.5652,2.8893,0.0,0.1304,0.3444,0.05,0.1035,0.159,0.0,0.067,0.0962,0.09,0.1704,0.1768,0.05,0.0987,0.1457,0.09,0.1657,0.1669,36.5,36.5,48.7904,2.015,2.015,0.0212,99.5,99.5,130.8148,66.0,66.0,86.267,68.75,68.75,3.7477,2.0,2.0,2.8284,4.5,4.5,4.9497,11.5,11.5,16.2635,2.0,2.0,2.8284,5.7,5.7,8.061,3.5,3.5,4.9497,3.0,3.0,4.2426,0.0,0.0,0.0,0.5,0.5,0.7071,0.0,0.0,N/a,11.0,14.2174,13.5645,3.0,4.6522,5.8279,30.0,27.7333,15.425,0.77,0.9274,0.7481,0.21,0.3004,0.3031,0.06,0.0929,0.1275,0.22,0.2647,0.3066,67.0,64.7391,20.43,45.6,46.6957,25.2565,82.0,81.2174,6.7484,8.0,9.8261,9.7405,6.0,6.2609,5.6906,17.0,18.5294,7.4424,3.0,6.0,7.6277,0.6,0.6017,0.1536,15.0,17.2174,8.7747,30.0,33.8696,18.5553,-17.0,-16.6522,10.5942,-0.99,-0.9039,0.395,0.05,0.0191,0.6315,0.0,0.0435,0.2085,13.0,15.6522,12.4082,11.0,13.1739,12.2536,1.0,2.3478,2.9327,9.0,18.6522,21.9827,10.0,13.6522,12.8792,15.0,14.7391,11.612,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.1739,0.491
Chelsea,23.0,20.8077,10.9143,12.0,15.1538,11.5471,382.0,416.9091,255.7239,12.15,15.0538,10.9434,0.5,2.0769,3.6543,1.0,1.3846,1.6752,1.0,3.4615,4.7936,0.5,1.8077,3.2499,0.0,0.2692,1.0414,0.0,0.3077,1.2254,3.0,3.3846,2.8576,0.0,0.2692,0.4523,0.02,0.0915,0.1416,0.03,0.0862,0.1136,0.12,0.1785,0.1945,0.02,0.0788,0.1186,0.12,0.1662,0.1808,25.5,25.5,28.9914,1.32,1.32,0.1838,74.0,74.0,86.267,49.0,49.0,57.9828,64.45,64.45,4.1719,6.5,6.5,7.7782,5.0,5.0,4.2426,6.5,6.5,9.1924,4.5,4.5,6.364,13.65,13.65,19.304,1.0,1.0,1.4142,1.0,1.0,1.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,11.0,18.8462,21.4265,2.0,6.0769,8.4519,27.95,26.7318,19.3477,0.83,1.2719,1.1635,0.245,0.3719,0.405,0.04,0.0718,0.0887,0.205,0.2339,0.203,62.5,59.6538,19.2644,33.7,41.8269,30.3934,79.5,76.8077,10.9837,5.0,9.2692,10.0859,4.5,5.6538,4.289,26.0,27.76,12.2382,3.0,5.6154,6.2551,1.36,1.3023,0.3302,19.0,23.1538,17.6674,18.5,20.1923,13.7899,3.0,2.9615,6.5634,0.17,0.0758,0.854,0.02,0.0612,1.1565,0.0,0.1154,0.3258,12.0,15.1538,13.5696,13.5,15.8077,15.2421,1.0,2.1538,3.3069,5.5,25.2692,43.8858,7.5,12.9615,14.315,8.5,12.3077,12.3572,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0,0.0
Crystal Palace,26.0,22.7619,10.6579,20.0,17.5714,12.2579,389.0,341.0,230.1492,19.6,17.6238,11.5608,0.0,1.5714,2.8735,0.0,0.9048,1.2611,1.0,2.4762,3.076,0.0,1.2381,2.0471,0.0,0.3333,0.9661,0.0,0.3333,0.9661,3.0,3.1905,2.2499,0.0,0.0952,0.3008,0.0,0.0857,0.1448,0.0,0.0519,0.071,0.11,0.1381,0.1464,0.0,0.0671,0.1183,0.09,0.1195,0.1266,23.5,23.5,33.234,0.67,0.67,0.9475,71.5,71.5,96.8736,50.5,50.5,67.1751,85.0,85.0,21.2132,5.5,5.5,7.7782,5.5,5.5,6.364,7.0,7.0,9.8995,6.0,6.0,7.0711,65.7,65.7,48.5075,3.5,3.5,3.5355,2.5,2.5,3.5355,0.5,0.5,0.7071,0.5,0.5,0.7071,16.7,16.7,N/a,15.0,17.7619,16.1149,4.0,5.7619,7.5558,29.2,27.1211,16.4129,0.91,1.1538,0.9212,0.2,0.3614,0.4144,0.0,0.0468,0.059,0.14,0.17,0.1864,68.0,64.381,24.33,54.5,48.9619,32.0863,83.0,82.4211,7.2135,11.0,12.381,11.91,4.0,5.1905,4.8023,21.0,23.8125,9.3397,1.0,6.5238,9.6157,1.23,1.1895,0.2146,18.0,18.6667,13.032,23.0,22.8095,14.6035,-5.0,-4.1429,4.4641,-0.26,-0.2657,0.4528,-0.21,0.0033,0.6903,0.0,0.0476,0.2182,14.0,16.1905,11.5482,18.0,14.5714,11.3251,0.0,2.9524,5.1524,11.0,24.8571,30.2379,7.0,13.2857,13.7082,15.0,18.1905,17.2847,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.0952,0.4364
Everton,28.0,25.15,9.7779,19.0,19.7,11.9345,517.0,499.1667,175.4542,19.1,19.645,11.6326,1.0,2.2,3.0366,1.0,1.65,2.0844,2.0,3.85,4.0298,1.0,2.1,2.9362,0.0,0.1,0.4472,0.0,0.1,0.4472,3.0,3.45,2.9996,0.0,0.2,0.4104,0.045,0.1015,0.1506,0.045,0.073,0.0871,0.13,0.174,0.1784,0.045,0.098,0.1488,0.13,0.1705,0.1763,46.0,46.0,N/a,1.28,1.28,N/a,140.0,140.0,N/a,98.0,98.0,N/a,69.3,69.3,N/a,13.0,13.0,N/a,10.0,10.0,N/a,13.0,13.0,N/a,11.0,11.0,N/a,30.6,30.6,N/a,4.0,4.0,N/a,3.0,3.0,N/a,1.0,1.0,N/a,0.0,0.0,N/a,25.0,25.0,N/a,18.5,19.8,14.5696,5.0,6.75,6.4226,30.8,33.3263,22.0481,1.105,1.1335,0.6935,0.33,0.3485,0.28,0.07,0.0763,0.0817,0.2,0.2265,0.215,73.0,65.05,23.1982,53.1,54.545,32.3253,86.5,82.5,7.5149,8.5,13.65,13.327,3.5,5.45,5.9425,18.0,18.1429,12.2088,0.0,4.25,6.6954,1.365,1.3685,0.1148,24.0,24.95,15.541,24.5,25.05,15.9026,0.0,-0.1,3.6835,0.0,0.003,0.3749,0.0,0.0721,0.7513,0.0,0.05,0.2236,18.0,18.75,11.8227,13.5,19.15,15.8588,1.0,2.55,3.9931,6.5,31.2,48.2816,11.0,14.5,13.8735,15.5,19.05,16.7095,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.05,0.2236
Fulham,27.0,25.3333,8.0146,19.0,18.619,10.2102,803.5,702.0,319.2667,18.5,18.4429,9.2797,1.0,1.9048,2.7911,1.0,1.1905,1.6315,1.0,3.0952,4.206,1.0,1.7143,2.3905,0.0,0.1905,0.8729,0.0,0.1905,0.8729,3.0,3.4286,2.4611,0.0,0.0476,0.2182,0.07,0.139,0.2185,0.03,0.0643,0.0883,0.15,0.2033,0.2515,0.07,0.131,0.2122,0.15,0.1957,0.2444,50.0,50.0,N/a,1.39,1.39,N/a,141.0,141.0,N/a,94.0,94.0,N/a,66.7,66.7,N/a,14.0,14.0,N/a,6.0,6.0,N/a,16.0,16.0,N/a,8.0,8.0,N/a,22.2,22.2,N/a,4.0,4.0,N/a,3.0,3.0,N/a,0.0,0.0,N/a,1.0,1.0,N/a,0.0,0.0,N/a,16.0,20.6667,19.7847,4.0,5.8571,6.3031,25.35,24.58,15.8347,0.99,1.2438,0.9459,0.32,0.359,0.3285,0.06,0.0815,0.1125,0.33,0.3818,0.3502,66.0,62.1905,20.5003,51.4,51.2048,25.776,82.0,79.7619,8.1235,10.0,10.7619,10.6766,6.0,6.7143,5.7109,19.0,17.3333,7.6389,2.0,4.2381,5.8643,1.33,1.3462,0.1394,22.0,22.5238,12.9985,24.0,25.4286,13.1437,-3.0,-2.9048,3.4771,-0.19,-0.2624,0.4366,-0.085,-0.0185,0.6611,0.0,0.0,0.0,13.0,18.0476,13.7967,13.0,15.1905,11.4089,1.0,2.9048,4.857,14.0,30.0476,31.7639,14.0,13.8571,10.1896,18.0,16.7619,12.1281,N/a,N/a,N/a,N/a,N/a,N/a,0.0,0.1429,0.3586
